Handshake: local_seq=242, remote_seq=900
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
Sending packet: seq=243, ack=901, bytes_read=0, window=1012
